stone,sku_datatech,descripcion,referencia,marca,u_por_caja,alto_cm,ancho_cm,largo_cm,peso_neto_kg,peso_bruto_kg,CBM,link,garantia
10729,SATBC2150,"BILL COUNTER SAT BC2150 VEL 1000 PIECES/MIN, UV-MG DETECTION",SAT BC2150,SAT COUNTERS,2,24,34,60,11.2,12.2,0.04896,https://satpcs.com/Descargas/Fichas-tecnicas/contadora-de-billetes-sat-bc2150.pdf,1
4567,SATDBL21,"MANUAL BILL DETECTOR SAT DBL21, MAGNIFIER, UV-MG-WM DETECTION",SAT DBL21,SAT COUNTERS,24,37.5,48,49.5,15.6,16.4,0.0891,https://satpcs.com/detector-de-billetes-manual-sat-dbl21.html,1
4566,SATDBL11,"MANUAL BILL DETECTOR SAT DBL11, UV-WM DETECTION",SAT DBL11,SAT COUNTERS,24,37.5,48,49.5,14.4,15.6,0.0891,https://satpcs.com/detector-de-billetes-manual-sat-dbl11.html,1
6593,SATBC5120PLUS+,"BILL COUNTER SAT BCS5120+ PLUS, DENOMINATOR, CLASSIFIER",SAT BC5120 PLUS+,SAT COUNTERS,1,42.5,34.5,40.5,10.8,11.5,0.059383125,https://satpcs.com/contadora-de-billetes-sat-bc5120.html,1
11445,SATMONEYSENSE912,BILL VALIDATOR SAT MONEYSENSE 912,SAT MONEYSENSE 912,SAT COUNTERS,1,32,20,40,6.4,7.5,0.050232,https://satpcs.com/Descargas/Fichas-tecnicas/money-sense-sat-912.pdf,1
11666,SATKT21ACC511G8S128,TRANSACTIONAL KIOSK SAT KT21AC CORE I5 11VA GEN 8G/128GB P2,SAT KT21AC C5-11G 8S128 ,SAT KIOSKS,1,158,33,73.5,50,55,0.383229,https://satpcs.com/sp/kiosco-transacional-capacitivo-sat-kt32ac-c5.html,1
11631,SATKT21LCA8.0ISN4F32,TRANSACTIONAL KIOSK SAT KT21AC ANDROID (11) 4G/64GB P21 TOUCH (IMP/SCN/NFC),SAT KT21AC A11 4S64,SAT KIOSKS,1,166,38,76.5,32,33.77,0.483,https://satpcs.com/Descargas/Fichas-tecnicas/kiosco-trantaccional-sat-kt32ac-core-i5-android.pdf,1
11667,SATKT32ACA4S64,TRANSACTIONAL KIOSK SAT KT32AC ANDROID (11) 4G/64GB P32 TOUCH (IMP/SCN/NFC),SAT KT32AC A 4S64,SAT KIOSKS,1,166,38,76.5,55,60,0.483,https://satpcs.com/Descargas/Fichas-tecnicas/kiosco-trantaccional-sat-kt32ac-core-i5-android.pdf,1
4200,SATKI55C5W4S128,INTERACTIVE KIOSK KI55 RESISTIVE i5 4GB 128SSD,SAT KI55 C5W 4S128,SAT KIOSKS,1,86,34.5,194,30,49,0.58,https://satpcs.com/sp/kiosco-publicitario-sat-tk555v-core-i5-12th.html,1
11621,SATKT32ACC5-11G8S128,TRANSACTIONAL KIOSK SAT KT32AC CORE I5 11VA GEN 8G/128GB P32 TOUCH (IMP/SCN/NFC),SAT KT32AC C5-11G 8S128,SAT KIOSKS,1,158,33,73.5,50,55,0.383229,https://satpcs.com/Descargas/Fichas-tecnicas/Kiosco-Turnero-SAT-KT21-S2.pdf,1
13404,SATTT460UE,IMPRESORA DE ETIQUETAS SAT TT460UE,SAT TT460UE,SAT LABEL PRINTERS,1,42,26.4,24,2.5,3.5,0.0266112,https://satpcs.com/sp/impresora-etiquetas-sat-tt460-ue.html,2
2812,SATTT448-2USE,LABEL PRINTER SAT TT448-2 USE,SAT TT448-2 USE,SAT LABEL PRINTERS,1,36.5,28,25,3,3.8,0.02555,https://satpcs.com/impresora-de-etiquetas-sat-tt448-2.html,2
6499,SATXT46,LABEL INDUSTRIAL PRINTER SAT XT46,SAT XT46,SAT LABEL PRINTERS,1,42,50,62.5,13,14,0.13125,https://satpcs.com/impresora-de-etiquetas-industrial-sat-xt46.html,2
5056,SATXT412,LABEL INDUSTRIAL PRINTER SAT XT412,SAT XT412,SAT LABEL PRINTERS,1,42,50,62.5,12.6,14,0.13125,https://satpcs.com/impresora-de-etiquetas-sat-xt412.html,2
10115,SATZ4125C4S128,MINIPC SAT PL4125C 4GB RAM DDR4 128GB SSD WIFI,SAT Z4125C 4S128,SAT MINI PC,10,29.4,48.8,39.6,1.6,2.06,0.28407456,https://satpcs.com/mini-pc-industrial-sat-z4125c.html#review-form,2
11973,SATPL5010C,MINI PC SAT PL5010C 8GB RAM DDR4 128GB SSD WIFI,SAT PL5010C 8S128,SAT MINI PC,10,29.4,48.8,39.6,16,20.6,0.056814912,https://satpcs.com/Descargas/Fichas-tecnicas/mini-pc-sat-pl5005c.pdf,2
7101,SATAF330,MOBILE PRINTER SAT AF330,SAT AF330,SAT MOBILE PRINTERS,20,38,34,43,9,14,0.055556,https://satpcs.com/impresora-movil-sat-af330.html,1
11963,SATN140J48S128WS,POS AIO SAT N140 CELERON J4125 8G/128GB P15.6 TOUCH C WIFI/BT CABLE SEG PANT,SAT N140 J4 8S128 WS,SAT POS AIO,1,44.5,41.5,20.5,4.9,6,0.037858375,https://satpcs.com/Descargas/Fichas-tecnicas/equipo-todo-en-uno-pos-serie-n140-j4125-android.pdf,2
11607,SATN150I5-118S256+W,POS AIO SAT N150 CORE I5 11TH (GEN) 8G/256GB P15 TOUCH C (C2P/USB) + WIFI,SAT N150 i5-11 8S256+W,SAT POS AIO,1,43.5,41.5,18.5,6,6.3,0.033397125,https://satpcs.com/sp/equipos-todo-en-uno-pos-sat-serie-n150-ci5.html,2
12351,SATN140J418S256+W,POS AIO SAT N140 CELERON J4125 8G/256GB P15.6 TOUCH C (C2P/USB) + WIFI,SAT N140 J41 8S256+W,SAT POS AIO,1,44.5,41.5,20.5,4.9,6,0.037858375,https://satpcs.com/Descargas/Fichas-tecnicas/equipo-todo-en-uno-pos-serie-n140-j4125-android.pdf,2
12680,SATN150I5128S256+W,POS AIO SAT N150 CORE I5 12TH (GEN) 8G/256GB P15 TOUCH C (C2P/USB) + WIFI,SAT N150 I5-12 8S256+W,SAT POS AIO,1,43.5,41.5,18.5,4.2,5,0.033397125,https://satpcs.com/sp/equipo-todo-en-uno-pos-sat-serie-n150.html,2
10280,SATN140A354S64W,POS AIO SAT N140 ANDROID RK3568 4G/64GB P15.6 TOUCH C WIFI/BT,SAT N140 A35 4S64 W,SAT POS AIO,1,44.5,41.5,20.5,4.9,6,0.037858375,https://satpcs.com/Descargas/Fichas-tecnicas/equipo-todo-en-uno-pos-serie-n140-j4125-android.pdf,2
11526,Falta Creacion,POS AIO SAT N140 CELERON J4125 4G/128GB P15.6 TOUCH C (C2P/USB) + WIFI,SAT N140 J41 4S128+W,SAT POS AIO,1,43,41.5,20,4.25,5.33,0.0374371,https://satpcs.com/Descargas/Fichas-tecnicas/equipo-todo-en-uno-pos-serie-n140-j4125-android.pdf,2
9580,SATCI140J644G128,"AIO SAT CI140J6412 4GB 128 SD 15.6"" CAPACITIVE",SAT CI140 J64 4S128,SAT POS AIO,1,51,31,46,5.45,6.84,0.073,https://satpcs.com/aio-sat-ci140-j64-4s128-j6412-4gb-128ssd-15-6-capacitivo.html,2
13581,SATN150I3128S256+W,POS AIO SAT N150 CORE I3 12TH (GEN) 8G/256GB P15 TOUCH C (C2P/USB) + WIFI,SAT N150 I3-12 8S256+W,SAT POS AIO,1,43.5,41.5,18.5,4.2,5,0.033397125,https://satpcs.com/sp/equipo-todo-en-uno-pos-sat-serie-n150.html,2
12356,SATN150I5-88S256+W,POS AIO SAT N150 CORE I5 8TH (GEN) 8G/256GB P15 TOUCH C (C2P/USB) + WIFI,SAT N150 I5-8 8S256+W,SAT POS AIO,1,43.5,41.5,22,5.96,6.3,0.0397155,https://satpcs.com/sp/equipo-todo-en-uno-pos-sat-serie-n150.html,2
13399,SAT119,CASH DRAWER SAT 119 PLASTIC TRAY,SAT 119,SAT POS CASH DRAWERS,1,16,48,46,6,6.58,0.035328,https://satpcs.com/sp/cajon-monedero-sat-119.html,1
2651,SAT119X,CASH DRAWER SAT 119X BLACK,SAT 119X,SAT POS CASH DRAWERS,1,16,46,48,7.15,7.8,0.035328,https://satpcs.com/cajon-monedero-sat-119x-negro.html,1
13403,SATRS130,CASH DRAWER SAT RS130,SAT RS130,SAT POS CASH DRAWERS,1,42,39,14,4.04,4.57,0.022932,https://satpcs.com/sp/cajon-monedero-sat-rs130.html,1
2643,SATRS100,CASH DRAWER SAT RS100 BLACK,SAT RS100 ,SAT POS CASH DRAWERS,1,13.5,34.5,41,3.74,4.35,0.0188,https://satpcs.com/cajon-monedero-sat-rs100.html,1
11306,SAT1054FPH,TOUCH MONITOR SAT 1054FPH 15 CAPACITIVO HDMI VGA,SAT 1054FPH,SAT POS MONITORS,5,43,43,70,22.5,27.5,0.12943,https://satpcs.com/Descargas/Fichas-tecnicas/monitor-touch-sat-1054fph.pdf,2
8001,SAT1073FPH,"TOUCH MONITOR SAT 1073FPH 17"" HDMI VGA",SAT 1073FPH,SAT POS MONITORS,1,47.5,30,42.5,5.9,7.03,0.0605625,https://satpcs.com/monitor-touch-sat-1973fph-capacitivo.html,1
8000,SAT1093FPH,"TOUCH MONITOR SAT 973FPH 9.1"" HDMI VHA",SAT 1093FPH,SAT POS MONITORS,1,31.5,24,36,2.42,3.17,0.027216,https://satpcs.com/sp/monitor-touch-sat-973fph-capacitivo.html,1
7571,SAT1053FPH,"TOUCH MONITOR SAT 1054FP 15"" CAPACITIVE HDMI VGA",SAT 1053FPH,SAT POS MONITORS,1,39,25.5,48,5.2,6.5,0.047736,https://satpcs.com/monitor-touch-sat-1053fph-15-capacitivo-vga.html,1
7645,SAT2013FPH,"TOUCH MONITOR SAT 2013FPH 21"" CAPACITIVE VGA HDMI",SAT 2013FPH,SAT POS MONITORS,1,49.8,25,65,8.35,11.3,0.080925,https://satpcs.com/monitor-touch-sat-2013fph-21-capacitivo-vga.html,1
